accuracy,balanced_accuracy,roc_auc,average_precision,precision,recall_sensitivity,specificity,npv,f1,brier_score,ece_10_bins,threshold,tn,fp,fn,tp,auc_ci_low,auc_ci_high,model,seed,best_epoch,stopped_epoch,best_val_loss,threshold_rule,model_family
0.8589743589743589,0.8508771929824561,0.9145781119465329,0.9665459171099322,0.9339622641509434,0.868421052631579,0.8333333333333334,0.7,0.9,0.16450274637542694,0.17885935361664448,0.13,35,7,15,99,0.8620798608732083,0.9579776146714378,residual_cnn,42,47.0,77.0,0.323318770298591,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8461538461538461,0.849624060150376,0.9093567251461988,0.9509640661693891,0.9411764705882353,0.8421052631578947,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.13653216524976836,0.13445140084420415,0.31,36,6,18,96,0.848105632143278,0.9589118049948345,enhanced_cnn,13,38.0,68.0,0.24566752425371072,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8589743589743589,0.8283208020050126,0.9037176274018379,0.9518757524301512,0.9107142857142857,0.8947368421052632,0.7619047619047619,0.7272727272727273,0.9026548672566371,0.11696180159213962,0.09293887522429801,0.39,32,10,12,102,0.8360313184875432,0.9548040801256447,enhanced_cnn,42,34.0,64.0,0.26218299987988597,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8205128205128205,0.8245614035087719,0.8941102756892231,0.9517805025361306,0.93,0.8157894736842105,0.8333333333333334,0.625,0.8691588785046729,0.12879426233846297,0.09986907067911656,0.61,35,7,21,93,0.8358125548915023,0.946187718706101,enhanced_cnn,101,43.0,73.0,0.2982806194669161,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8269230769230769,0.8289473684210527,0.8916040100250626,0.944996481286673,0.9306930693069307,0.8245614035087719,0.8333333333333334,0.6363636363636364,0.8744186046511628,0.14558098530768812,0.13806823895981485,0.27,35,7,20,94,0.8273098678315413,0.9454410982099662,residual_cnn,101,33.0,63.0,0.2953076053124208,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8525641025641025,0.831453634085213,0.8862781954887218,0.9404348591088383,0.9174311926605505,0.8771929824561403,0.7857142857142857,0.7021276595744681,0.8968609865470852,0.12147045424922275,0.11275310148574556,0.54,33,9,14,100,0.8136817486957273,0.9452897064371483,tiny_cnn,42,51.0,81.0,0.26576997836430866,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8205128205128205,0.7644110275689223,0.880325814536341,0.9456620777728412,0.8706896551724138,0.8859649122807017,0.6428571428571429,0.675,0.8782608695652174,0.12673310618784603,0.09028988042309023,0.46,27,15,13,101,0.8103857884320036,0.9361863973715917,tiny_cnn,101,48.0,78.0,0.23353213224655542,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8012820512820513,0.8038847117794486,0.8744778613199666,0.9479887394854456,0.9191919191919192,0.7982456140350878,0.8095238095238095,0.5964912280701754,0.8544600938967136,0.1518581707425919,0.1316105495759238,0.58,34,8,23,91,0.8110249069655552,0.931548843892594,residual_cnn,13,37.0,67.0,0.33256789564322203,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8205128205128205,0.786967418546366,0.8627819548872181,0.9387434434149089,0.8909090909090909,0.8596491228070176,0.7142857142857143,0.6521739130434783,0.875,0.15959527235076118,0.14151569807272144,0.33,30,12,16,98,0.7909843866422814,0.9249012976359162,tiny_cnn,13,49.0,79.0,0.3388001460295457,max_specificity_given_sensitivity_at_least_0.90,cnn
0.8205128205128205,0.7343358395989975,0.8379281537176274,0.9233860902106101,0.8467741935483871,0.9210526315789473,0.5476190476190477,0.71875,0.8823529411764706,0.13678163887105305,0.07453638111713635,0.58,23,19,9,105,0.7584587064624109,0.9092992231273481,random_forest,13,,,,max_specificity_given_sensitivity_at_least_0.90,classical_ml
0.8076923076923077,0.7180451127819549,0.8097326649958229,0.898380919645754,0.8387096774193549,0.9122807017543859,0.5238095238095238,0.6875,0.8739495798319328,0.14148797694699936,0.05808908422396324,0.58,22,20,10,104,0.7236150568181818,0.8838793103448275,random_forest,101,,,,max_specificity_given_sensitivity_at_least_0.90,classical_ml
0.8205128205128205,0.7343358395989975,0.8057644110275689,0.9094690200395772,0.8467741935483871,0.9210526315789473,0.5476190476190477,0.71875,0.8823529411764706,0.14564224082083457,0.0601064911585633,0.58,23,19,9,105,0.7213188412642842,0.8829070656523107,random_forest,42,,,,max_specificity_given_sensitivity_at_least_0.90,classical_ml
0.7628205128205128,0.7174185463659148,0.7928153717627402,0.918312834528703,0.8532110091743119,0.8157894736842105,0.6190476190476191,0.5531914893617021,0.8340807174887892,0.19111504785470046,0.15542023348980655,0.53,26,16,21,93,0.7168852045322635,0.8613079463344574,logistic_regression,13,,,,max_specificity_given_sensitivity_at_least_0.90,classical_ml
0.7564102564102564,0.6453634085213033,0.7758980785296574,0.9096867547023126,0.8015873015873016,0.8859649122807017,0.40476190476190477,0.5666666666666667,0.8416666666666667,0.20651694334505036,0.1961058105153684,0.19,17,25,13,101,0.6975700431034483,0.844114518109966,logistic_regression,42,,,,max_specificity_given_sensitivity_at_least_0.90,classical_ml
0.7435897435897436,0.6741854636591479,0.7234753550543024,0.8873882105477713,0.8245614035087719,0.8245614035087719,0.5238095238095238,0.5238095238095238,0.8245614035087719,0.22734184906804727,0.20047385704897308,0.59,22,20,20,94,0.6379295099883336,0.8033646245059288,logistic_regression,101,,,,max_specificity_given_sensitivity_at_least_0.90,classical_ml
